"id","title","authors","year","venue","output_object","comparison","read_level","helper_status","url","full_text","locator"
"S11","Regret-based budgeted decision rules under severe uncertainty","Nakharutai; Destercke; Troffaes","2024","Information Sciences 665:120361","robust pairwise preference and undominated acts","Exact semantic containment by vacuous credal set over completions; no trace-specific algorithm claimed","primary_full_sections","UNVERIFIED","https://arxiv.org/abs/2403.02960","https://arxiv.org/html/2403.02960v1","Section 2, equations 1–2; maximality definition"
"S12","Efficient Approximation of Certain and Possible Answers for Ranking and Window Queries over Uncertain Data","Feng; Glavic; Kennedy","2023","PVLDB 16(6):1346–1358","bounds on ranking/top-k/window-query results","Possible worlds and uncertain windows pre-exist; approximations need not retain exact trace dependence; not direct paired forecast-risk certificates","primary_full_sections","UNVERIFIED","https://www.cs.uic.edu/~bglavic/dbgroup/bibliography/LL22b.html","https://www.vldb.org/pvldb/vol16/p1346-feng.pdf","Sections 1,2 and related work"
"S13","Structured Prediction with Partial Labelling through the Infimum Loss","Cabannes; Rudi; Bach","2020","ICML / PMLR 119","learner and partial-label risk","Structured label feasible sets and loss extrema pre-exist; task is learning and recovery, not fixed finite-panel model comparison","primary_full_sections","UNVERIFIED","https://proceedings.mlr.press/v119/cabannnes20a.html","https://proceedings.mlr.press/v119/cabannnes20a/cabannnes20a.pdf","Theorem 1; Section 4 supremum loss"
"S14","Query-Adaptive Predictive Inference with Partial Labels","Cauchois; Duchi","2022","arXiv:2206.07236","query-adaptive predictive sets and risk guarantees","Probe functions of structured labels are related; statistical prediction sets differ from deterministic retrospective comparison; full text access incomplete","primary_abstract_and_indexed_sections","UNVERIFIED","https://arxiv.org/abs/2206.07236","","Abstract; accessible indexed method excerpts"
"S15","A Framework for Reliable Deployment and Monitoring of AI Decision Systems Under Partial Observability","Zhu, Yi; Leonard, Joshua","2026","Applied Sciences 16(10):4917; 10.3390/app16104917","deployment feasibility regimes and intervention","Information-structure limitations and universal feasible actions pre-exist; not explicit shared-trace paired-risk evaluation","primary_publisher_sections_access_limited","UNVERIFIED","https://www.mdpi.com/2076-3417/16/10/4917","","Publisher abstract/introduction, observation-consistent sets; direct follow-up access rate-limited"
"S16","Labeled Null Semantics for Incomplete Decision Tables: Certain, Possible, and Conditional Decision Reasoning","Vu; Demetrovics","2026","Algorithms 19(9):725; 10.3390/a19090725","certain/possible/conditional decisions under shared null assignments","Shared unknown identity already explicit; no additive model-risk, run automata or pairwise-vs-trajectory hierarchy located","primary_publisher_sections_access_limited","UNVERIFIED","https://www.mdpi.com/1999-4893/19/9/725","https://www.mdpi.com/1999-4893/19/9/725/notes","Definitions 11–12; certain/possible semantics; publisher version history"
"S17","Can Agent Benchmarks Support Their Scores? Evidence-Supported Bounds for Interactive-Agent Evaluation","Gao, Shanshan; Zhou, Liyi","2026","arXiv:2605.10448","evidence-supported score interval","Unknown evidence and score bounds pre-exist; no joint shared-trace label optimization or paired forecast-risk certificate","primary_full_sections","UNVERIFIED","https://arxiv.org/abs/2605.10448","https://arxiv.org/html/2605.10448v1","Section 3, pass/fail/unknown and score bounds"
"S18","Two Poset Polytopes","Stanley","1986","Discrete & Computational Geometry 1:9–23","order-polytope vertices","Integrality is classical, not new theorem","primary_full_sections","UNVERIFIED","https://math.mit.edu/~rstan/pubs/pubfiles/66.pdf","https://math.mit.edu/~rstan/pubs/pubfiles/66.pdf","Corollary 1.3"
"S19","Preferred representations of Boolean relations","Creignou; Kolaitis; Zanuttini","2005","ECCC TR05-119","Boolean relation representation","AND/OR closure and implication representation have classical context; no new general Boolean structure theory","prior_turn_primary_sections_current_access_failed","UNVERIFIED","https://eccc.weizmann.ac.il/report/2005/119/download","","Boolean-relation closure and plain bases; AP2 primary-source reading retained, current access failed"
"S20","Vision-Based Runtime Monitoring under Varying Specifications using Semantic Latent Representations","Authors listed on arXiv record","2026","arXiv:2605.13923","certified ptSTL monitoring from vision","Recent partial-observability monitoring, not direct paired-risk evaluation in abstract; full text not assessed","primary_abstract_only","UNVERIFIED","https://arxiv.org/abs/2605.13923","","Abstract"
