evidence_id,record_type,source_commit,config_ref,target,horizons,base_information,candidate_information,representation,fit_range,selection_range,evaluation_range,controls,budget,recorded_status,allowed_conclusion,evidence_ref,metadata_sha256
audited-t5-fcnn-occ-3-1-region-P_ps-42-20-603f5d9e,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P+ps,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,8fcb5cbb8fd1ef8430ae7d162fc624ba8fd2d5058fbd741e2fca4ea1169968a6
audited-t5-fcnn-occ-3-1-region-pe-42-20-edc8cc19,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,pe,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,f8eba73e04ebfa89a8e8f379128b995029806087b34ab805c8e3eafd79aee29b
audited-t5-fcnn-occ-3-1-region-ps-42-20-35eacba6,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,09644677ee4ddc162eb9d052bf2578c5e58efb04bddc1c468c025c4d198b3c73
audited-t5-fcnn-occ-3-1-region-ps_pe-42-20-8774a12e,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps+pe,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,4dccf9f4d931342a3f77c729e63cc42fef685f118758d981e0cc57224b3368d9
audited-t5-fcnn-occ-3-1-region-Ta-42-20-e916ba6b,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,d6089e0f373a8eeb7c05e0ec8c48219582629e30f98a906866457be6c5da00b6
audited-t5-fcnn-occ-3-1-region-Ta_pe-42-20-0ab096c1,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta+pe,fcnn,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,262218575593490f53aa36bbb268a15214f9aef13d023a476342dcd1a07909f2
audited-t5-fcnn-occ-3-2-region-all-42-20-f3dff4a0,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,all,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,2ad1dc429d4b3bafacc2924734b2503b848e9ea9dba9a42dc63eedbfc6e7e463
audited-t5-fcnn-occ-3-2-region-h-42-20-cdd95707,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,ee1f87287011d71312235cd85a44d4a1576f87c94b0453bc4609599ba2f20cb7
audited-t5-fcnn-occ-3-2-region-h_Ta-42-20-2e2eda28,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h+Ta,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,263ae64df159081a43050d643560a0ff2b501bf9693fa36cf61c822dda3e9249
audited-t5-fcnn-occ-3-2-region-P-42-20-1fda959b,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,failed,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,ce7bc96b564a5c8d95bb3b2068f8f10b8d29e70e61274b0902e70d16c8af0396
audited-t5-fcnn-occ-3-2-region-P-42-20-1fda959b,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,b48e37bae196334f376eb91fe617c7db43c147f8fd2d29b84400581383abdc2c
audited-t5-fcnn-occ-3-2-region-P_ps-42-20-f4e37e6e,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P+ps,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,99c6c1f305ebf7741b2e853958a4c4b1aebbd9af7251312d1c3c6dae4c26da24
audited-t5-fcnn-occ-3-2-region-pe-42-20-bc4cc10f,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,pe,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,7c7b1219583b752c442858bbe02c169d7d0429c77039b3a411aa76c4f6ef31e3
audited-t5-fcnn-occ-3-2-region-ps-42-20-50a1b6b1,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,97cdc2da21ac3e3056e0962a15519ec37d9b175579dc68d3d3829383422d894a
audited-t5-fcnn-occ-3-2-region-ps_pe-42-20-73a6b343,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps+pe,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,24f81f42f0a0c4b5f7fb853b16ab7313dee8ebbecbde622347ed795fe9cbae24
audited-t5-fcnn-occ-3-2-region-Ta-42-20-e8c64934,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,6f724761a692e5faf2b190e197fcdaddd0076683acf9eb1728beefd8d7bb47dd
audited-t5-fcnn-occ-3-2-region-Ta_pe-42-20-6a68320b,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta+pe,fcnn,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,77bbf467a17f7c5c21527a94ce57bb714bf80179e19b0f79eb62fbaa12e73e80
audited-t5-fcnn-occ-3-3-region-all-42-20-d6410cfa,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,all,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,25222bb60e899bbcac79b90afe60d46ca5768e05c9f15a74b7d364040fb5eced
audited-t5-fcnn-occ-3-3-region-h-42-20-59d97373,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,07326f60ce357fcbc770ef8cf4811f10791ec07dc17688cd0ca1b7232f35f980
audited-t5-fcnn-occ-3-3-region-h_Ta-42-20-4b15196b,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h+Ta,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,db98c10d81795262df95c8e20650a965156c06d12659b4b82cc96687313f8bc4
audited-t5-fcnn-occ-3-3-region-P-42-20-69175fb6,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,dcc06f90fb9e06acab212764b4916dbd5ec0df3c140b706bb55a7953c04ddfdd
audited-t5-fcnn-occ-3-3-region-P_ps-42-20-f5f0e391,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P+ps,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,db577207496b3c44e14f9a701a38e85081e7323432a7586c866279fd209f4bd1
audited-t5-fcnn-occ-3-3-region-pe-42-20-311630f0,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,pe,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,734e77b04b62df9fd576c8d0fb528331faea492940c1bc0703e4ace818894bc8
audited-t5-fcnn-occ-3-3-region-ps-42-20-7206e75d,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,b036f8cf26049a1a2db319ab64869f32b2df09729801c7ad94f40f80399b2564
audited-t5-fcnn-occ-3-3-region-ps_pe-42-20-07816f44,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps+pe,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,f9e91ea514d0876c97e4902ea72fc38ddb5aa4dab4dad1f17ca002120f515e15
audited-t5-fcnn-occ-3-3-region-Ta-42-20-47d4a305,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,24da9afd98706c467ffabd46efea30809a759cf22392122e104463d0ffa4a980
audited-t5-fcnn-occ-3-3-region-Ta_pe-42-20-c40bee49,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta+pe,fcnn,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,2c314d8ad45761012fca94482683e60b0609c1ad3b97fa98e76db6f3bcbe7d3b
audited-t5-fcnn-occ-3-4-region-all-42-20-26b2753f,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,all,fcnn,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,af30f2054642ec9127454c96a60987d82f59ccb3a6be21f0378f6a0fcabd3571
audited-t5-fcnn-occ-3-4-region-h-42-20-17f5a9f0,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h,fcnn,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,19fd80d8ffc0a423eeca6c35244680e1b6bc3b68bc54f4a9635581d00ffe776d
audited-t5-fcnn-occ-3-4-region-h_Ta-42-20-bdd2843b,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,h+Ta,fcnn,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,f081059bb373ae6b856cb87ff81fa1fbd044854bc5a23f3ac21eac0ebc8be80e
audited-t5-fcnn-occ-3-4-region-P-42-20-746059ca,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,fcnn,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,104a3734cdb378447d0ad197d57268a8af744d0526a4136cacb42611dfe17dcc
